surface,player_1_win,player_1,Player_1_hand,Player_1_age,player_2,Player_2_hand,Player_2_age
Clay,1,Jiri Vesely,L,24.01916496,Norbert Gombos,R,26.92676249
Clay,1,Radu Albot,R,27.67967146,Miljan Zekic,U,29.01300479
Clay,0,Joao Sousa,R,28.29842574,Aljaz Bedene,R,27.99726215
Clay,1,Kenny De Schepper,L,30.13552361,Benoit Paire,R,28.19164956
Clay,1,Alessandro Giannessi,L,27.1321013,Marc Polmans,U,20.20807666
Clay,0,Marco Trungelliti,R,27.45790554,Rogerio Dutra Silva,R,33.45106092
Hard,0,Ryan Harrison,R,25.2128679,John Isner,R,32.24366872
Hard,1,Ryan Harrison,R,25.2128679,Kyle Edmund,R,22.54072553
Hard,0,Gilles Muller,L,34.20944559,John Isner,R,32.24366872
Hard,1,Kyle Edmund,R,22.54072553,Jack Sock,R,24.82956879
Hard,0,Christopher Eubanks,U,0,Ryan Harrison,R,25.2128679
Hard,0,Tommy Paul,R,20.18617385,Gilles Muller,L,34.20944559
Hard,1,John Isner,R,32.24366872,Lukas Lacko,R,29.72210815
Hard,0,Dudi Sela,R,32.30390144,Jack Sock,R,24.82956879
Hard,1,Kyle Edmund,R,22.54072553,Peter Gojowczyk,R,28.02464066
Hard,0,John Millman,R,28.10951403,Ryan Harrison,R,25.2128679
Hard,0,Jared Donaldson,R,20.78850103,Christopher Eubanks,U,0
Hard,0,Malek Jaziri,R,33.50855578,Tommy Paul,R,20.18617385
Hard,1,Gilles Muller,L,34.20944559,Quentin Halys,R,20.74195756
Hard,0,Donald Young,L,28.00273785,Lukas Lacko,R,29.72210815
Hard,1,John Isner,R,32.24366872,Vasek Pospisil,R,27.08555784
Hard,1,Dudi Sela,R,32.30390144,Konstantin Kravchuk,R,32.41341547
Hard,1,Peter Gojowczyk,R,28.02464066,Guido Pella,L,27.18685832
Hard,0,Marcos Baghdatis,R,32.10130048,Kyle Edmund,R,22.54072553
Hard,1,John Millman,R,28.10951403,Francis Tiafoe,R,19.50718686
Hard,0,Taylor Harry Fritz,R,19.73716632,Christopher Eubanks,U,0
Hard,0,Ernesto Escobedo,R,21.05407255,Jared Donaldson,R,20.78850103
Hard,1,Tommy Paul,R,20.18617385,Hyeon Chung,R,21.18001369
Hard,0,Reilly Opelka,U,19.90417522,Malek Jaziri,R,33.50855578
Hard,0,Stefan Kozlov,R,19.47433265,Quentin Halys,R,20.74195756
Hard,0,Tim Smyczek,R,29.56605065,Donald Young,L,28.00273785
Hard,1,Lukas Lacko,R,29.72210815,Thomas Fabbiano,R,28.1615332
Hard,1,Vasek Pospisil,R,27.08555784,Bjorn Fratangelo,R,24.01368925
Clay,1,Fabio Fognini,R,30.16837782,Yannick Hanfmann,U,25.69472964
Clay,1,Yannick Hanfmann,U,25.69472964,Robin Haase,R,30.29979466
Clay,1,Fabio Fognini,R,30.16837782,Roberto Bautista Agut,R,29.27583847
Clay,0,David Goffin,R,26.62833676,Robin Haase,R,30.29979466
Clay,1,Yannick Hanfmann,U,25.69472964,Joao Sousa,R,28.31759069
Clay,0,Ernests Gulbis,R,28.89801506,Fabio Fognini,R,30.16837782
Clay,0,Denis Istomin,R,30.87748118,Roberto Bautista Agut,R,29.27583847
Clay,0,Radu Albot,R,27.69883641,David Goffin,R,26.62833676
Clay,0,Thiago Monteiro,L,23.14852841,Robin Haase,R,30.29979466
Clay,1,Yannick Hanfmann,U,25.69472964,Feliciano Lopez,L,35.84120465
Clay,1,Joao Sousa,R,28.31759069,Henri Laaksonen,R,25.31416838
Clay,1,Ernests Gulbis,R,28.89801506,Paolo Lorenzi,R,35.60574949
Clay,1,Fabio Fognini,R,30.16837782,Norbert Gombos,R,26.94592745
